Tag ID,Type,Value,Magnitude,Absolute,Price,Spiciness,Damage,Anticipation,Calories,Effect,Combines Well With,Combines Poorly With,Combines Dramatically With,HelpTag
flawless,execution,4,,,,,,,,,,,,
amazing,taste,4,,,,,,,,,,,,
awesome,taste,3,,,,,,,,,,,,extremely good
fancy,novelty,2,,,3,,,,,,,,,
delicious,taste,2,,,,,,,,,,,,very good
alcoholic,effect,1,,,,,1;2,1,,Gives Sauced status effect,bitter,,,
fresh,freshness,1,,,,,,,,,,,,
cruel,meaning,1,,,,,,,,,,,,
nice,execution,1,,,,,,,,,,,,
expensive,price,1,,,2,,,,,,,,,
extreme spice,spiciness,1,,,,4,3;5,,,,entree,sweet; dessert,,
hot spice,spiciness,1,,,,3,2;4,,,,entree,sweet; dessert,,
moderate spice,spiciness,1,,,,2,1;3,,,,entree,sweet; dessert,,
classic,taste,1,,,,,,,,,,,,
tasty,taste,1,,,,,,,,,,,,
fried,technique,1,,,,,,,,,,,,
upscale,price,0.5,,,1,,,,,,,,,
mild spice,spiciness,0.5,,,,1,0;2,,,,entree,sweet; dessert,,
crummy,execution,-1,,,,,,,,,,,,
bitter,flavor,-1,,,,,,,,,sweet,,,
stale,freshness,-1,,,,,,,,,,,,
unsettling,novelty,-1,,,,,,,,,,,,
cheap,price,-1,,,-2,,,,,,,,,
vegan,substance,-1,,,,,,,,incompatible with: meat; seafood; dairy,,dessert,,
gamey,taste,-1,,,,,,,,,,,,
greasy,taste,-1,,,,,,,2,,,,,
unappetizing,taste,-1,,,,,,,,,,,,
lukewarm,temperature,-1,,,,,,,,,,,,
tough,texture,-1,,,,,,,,,,,,
poor,execution,-2,,,,,,,,,,,,
old,freshness,-2,,,,,,,,,,,,
terrifying,judgment,-2,1,,,,,,,,,,,
gross,taste,-2,,,,,,,,,,,,very bad
ruined,execution,-3,,,,,,,,,,,,
spoiled,freshness,-3,,,,,2;8,,,,,,,
disgusting,taste,-3,,,,,,,,,,,,extremely bad
disaster,execution,-4,,,,,,,,,,,,
horrific,taste,-4,,,,,,,,,,,,
non-food,effect,-5,,,-4,,0;4,,,,,,,
caffinated,effect,,,,,,,,,,,,,
dangerous,effect,,,,,,3;5,,,May add harm or adverse effects,,,,
deadly,effect,,,,,,8;12,,,,,,,
psychotropic,effect,,,,,,,,,May cause harm or other adverse effects,,,,
risky,effect,,1,,,,0;4,,,,,,,
toxic,effect,,,,,,4;8,,,May add adverse effects,,,,
corporate,execution,,-1,,,,,,,,,,,
entree,meal,,,,,,,,,,entree,dessert,,
minty,flavor,,,,,,,,,,sweet,salty,savory,
salty,flavor,,,,,,,,,,salty; savory,sour,sweet,
savory,flavor,,,,,,,,,,savory; salty,sour,sweet,
sour,flavor,,,,,,,,,,sour; tangy,minty; bitter,savory; salty,
sweet,flavor,,,,,,,,,,sweet; sour; tangy,,other flavor,
tangy,flavor,,1,,,,,,,,tangy,salty,savory,
aged,freshness,,2,,,,,,,If alcoholic add value; else spoiled,,,,
heals,healing,,,,,,-2;-4,,,,,,,restores HP
beverage,meal,,-1,,,,,,,,fruit; beverage,meat; seafood; entree,,
breakfast,meal,,,,,,,,,,dessert,entree,,
dessert,meal,,,,,,,,,,dessert,entree,,
nostalgic,meaning,,,,,,,,,,,,,
American,nationality,,,,,,,,,Selected by restaurant,American,,,
British,nationality,,,,,,,,,,British,,,"food, Britain style"
Canadian,nationality,,,,,,,,,,Canadian,,,
Chinese,nationality,,,,,,,,,Selected by restaurant,Chinese,,,
French,nationality,,,,,,,,,,French,,,"food, French style"
German,nationality,,,,,,,,,,German,,,
Greek,nationality,,,,,,,,,,Greek,,,
Indian,nationality,,,,,,,,,,Indian,,,
Italian,nationality,,,,,,,,,,Italian,,,
Japanese,nationality,,,,,,,,,,Japanese,,,
Korean,nationality,,,,,,,,,,Korean,,,
Mexican,nationality,,,,,,,,,,Mexican,,,
Middle Eastern,nationality,,,,,,,,,,Middle Eastern,,,
Russian,nationality,,,,,,,,,,Russian,,,
Scottish,nationality,,,,,,,,,,Scottish,,,
Spanish,nationality,,,,,,,,,,Spanish,,,
Thai,nationality,,,,,,,,,,Thai,,,
Vietnamese,nationality,,,,,,,,,,Vietnamese,,,
boring,novelty,,-1,,,,,-2,,,,,,
enticing,novelty,,2,,,,,2,,,,,,
exciting,novelty,,3,,,,,,,,,,,
exotic,novelty,,1,,,,,,,,,,,
impossible,novelty,,4,,,,,4,,,,,,
bad,quality,,,-1,,,,,,,,,,Must have negative value
good,quality,,,1,,,,,,,,,,Must have positive value
marinade,style,,,,,,,,,,meat,,,
dairy,substance,,,,,,,,,incompatible with vegan,dessert,,,
fruit,substance,,,,,,,,,,dessert,meat,,
grain,substance,,,,,,,,,,meat; seafood; dairy; fruit,,,
meat,substance,,,,,,,,,,hot,dessert; vegan; cold,,
nut,substance,,,,,,,,,,dessert,,,
seafood,substance,,,,,,,,,May be served raw,hot,dessert; cold,,
vegetable,substance,,,,,,,,,,,dessert; beverage,,
bland,taste,,-1,,,,,,,,,,,
dull,taste,,-2,,,,,,,,,,,
potent,taste,,2,,,,,,,,,,,
powerful,taste,,3,,,,,,,,,,,
ultimate,taste,,4,,,,,,,,,,,
weak,taste,,-2,,,,,,,,,,,
cold,temperature,,,,,,,,,,cold,hot,,good only with cold
hot,temperature,,,,,,,,,,hot,cold,,good only with hot
raw,temperature,,,,,,,,,,,meat---,,ruins meat
chewy,texture,,,,,,,,,,crispy,liquid// spongy,,
creamy,texture,,,,,,,,,,sweet// liquid,,,
crispy,texture,,,,,,,,,,creamy// chewy,liquid// spongy,,
crunchy,texture,,,,,,,,,,,juicy// spongy,,
doughy,texture,,,,,,,,,,creamy// crispy,crunchy//,,
gooey,texture,,,,,,,,,,gooey//,chewy//,,
juicy,texture,,1,,,,,,,,,,,
liquid,texture,,,,,,,,,,creamy,,,
spongy,texture,,,,,,,,,,sweet,liquid,,
sticky,texture,,,,,,,,,,,,,
random,wildcard,,,,,,,,,,,,,